str_no_string|,
str_you_know_that_i_have_always_had_a_problem_with_some_of_our_companions|Biliyorsun benim senin bazı yoldaşlarınla hep problemlerim olmuştur.
str_politically_i_would_be_a_better_position_in_the_court_of_my_current_liege_than_in_yours|Politik düşünürsek, senin efendinin sarayında, benim şuan ki efendimin sarayında olduğumdan daha düşük bir pozisyonda olurdum.
str_i_am_more_comfortable_with_you_and_your_companions_than_with_my_current_liege|Senin ve yoldaşlarının yanında, şuanki efendimin yanında olduğumdan daha rahatım .
str_militarily_youre_in_no_position_to_protect_me_should_i_be_attacked_id_be_reluctant_to_join_you_until_you_could|Askeri düşünürsek, ben saldırıya uğradığımda beni koruyabilecek pozisyonda değilsin, bu yüzden bu pozisyona erişene kadar sana katılmaya tereddüt ediyorum.
str_militarily_when_i_consider_the_lay_of_the_land_i_realize_that_to_pledge_myself_to_you_now_would_endanger_my_faithful_retainers_and_my_family|Askeri anlamda enine boyuna düşünürsek, farkediyorum ki kendimi şu anda sana adamam, ustalarımı ve ailemi tehlikeye sokacak.
str_militarily_youre_in_no_position_to_come_to_my_help_if_someone_attacked_me_i_dont_mind_a_good_fight_but_i_like_to_have_a_chance_of_winning|Askeri düşünürsek, ben bir saldırıya maruz kaldığımda, gelip bana yardım edebilecek durumda değilsin. İyi bir savaştan kaçınmam ama kazanma şansım olmasını isterim.
str_militarily_you_would_have_me_join_you_only_to_find_myself_isolated_amid_a_sea_of_enemies|Askeri düşünürsek, benim sana katılmamı, yalnızca  beni, düşman denizinin ortasından izole etmek için istiyorsun.
str_militarily_youre_in_no_position_to_come_to_my_help_if_someone_attacked_me_youd_let_me_be_cut_down_like_a_dog_id_bet|Askeri düşünürsek, ben bir saldırıya maruz kaldığımda, gelip bana yardım edebilecek durumda değilsin. Bahse girerim , bir savaş durumunda köpekler gibi öldürülmeme müsaade ederdin.
str_militarily_i_wouldnt_be_any_safer_if_i_joined_you|Askeri düşünürsek, sana katıldığımda şimdi olduğumdan daha güvende olmazdım.
str_militarily_i_might_be_safer_if_i_joined_you|Askeri düşünürsek, sana katıldığımda daha güvende olurum.
str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_the_cost_would_be_very_high|Sonuç olarak, birisine sunduğu sadaketten vazgeçmeyi planlayan birisi, dikkatli düşünmeli, mantıklı bir sebebi olsa dahi, sadakatinden çok çabuk vazgeçen birisi olarak isim yapmak iyi değildir. Böyle bir durum, itibarıma çok pahalıya mal olurdu.
str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_the_cost_would_be_significant|Sonuç olarak, birisine sunduğu sadaketten vazgeçmeyi planlayan birisi, dikkatli düşünmeli, mantıklı bir sebebi olsa dahi, sadakatinden çok çabuk vazgeçen birisi olarak isim yapmak iyi değildir. Böyle bir durum itibarıma kayda değer bir zarar verirdi.
str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_however_many_men_would_understand|Sonuç olarak, birisine sunduğu sadaketten vazgeçmeyi planlayan birisi, dikkatli düşünmeli, mantıklı bir sebebi olsa dahi, sadakatinden çok çabuk vazgeçen birisi olarak isim yapmak iyi değildir. Bir çok adam bunu  anlayacaktır.
str_i_will_not_have_it_be_said_about_me_that_i_am_a_traitor_that_is_my_final_decision_i_have_nothing_more_to_say_on_this_matter|Kendime asla hain dedirtmem, son sözüm budur, bu konuda söyleyecek başka hiçbir şeyim yok.
str_i_am_pledged_to_defend_s14_i_am_sorry_though_we_may_meet_on_the_battlefield_i_hope_that_we_will_still_be_friends|Ben kendimi {s14} savunmasına adadım. Üzgünüm. Savaş alanında karşı karşıya gelsekte umarım arkadaşlığımız devam eder.
str_i_really_cannot_bring_myself_to_renounce_s14_i_am_sorry_please_lets_not_talk_about_this_any_more|{s14} benim vazgeçmeyi düşünemeyeceğim bir değerim. Özür dilerim, lütfen bu konu hakkında daha fazla konuşmayalım .
str_however_i_have_decided_that_i_must_remain_loyal_to_s14_i_am_sorry|{s14} benim vazgeçemeyeceğim bir değerim. Ona sadık kalmaya kadar verdim. Üzgünüm.
str_however_i_will_not_let_you_lead_me_into_treason_do_not_talk_to_me_of_this_again|Beni ihanete sürüklemene müsaade edemem, bir daha bana bu konuyu açma.
str_its_not_good_to_get_a_reputation_as_one_who_abandons_his_liege_that_is_my_decision_let_us_speak_no_more_of_this_matter|Efendisini terkeden birisi olarak ün salmak iyi bir şey değil. Son kararım bu, bir daha bu mevzuyu tartışmayalım.
str_ive_decided_to_stick_with_s14_i_dont_want_to_talk_about_this_matter_any_more|{s14} ile aramdaki bağı korumaya kadar verdim. Bir daha bu konuyu açmayalım.
str_you_are_challenging_me_to_a_duel_how_droll_as_you_wish_playername_it_will_be_good_sport_to_bash_your_head_in|Beni düelloya mı davet ediyorsun? Çok tuhaf! Nasıl istersen, {playername}, kafanı ezmek benim için iyi bir spor olacak.
str_call_me_coward_very_well_you_leave_me_no_choice|Bana korkak dersin ha? Peki öyleyse, bana başka bi seçenek bırakmadın .
str_reg3_hours|{reg3} saat.
str_hour|saat.
str_however_circumstances_have_changed_since_we_made_that_decision_and_i_may_reconsider_shortly_s16|Aldığımız son karardan itibaren şartlar biraz değişti, yakın zamanda yeni kararımı açıklarım. {s16}
str_i_wish_to_marry_your_s11_s10_i_ask_for_your_blessing|Kızınız {s10} ile evlenmek istiyorum. Sizin de onayınızı istiyorum.
str_i_wish_to_marry_your_s11_s10_i_ask_for_your_help|Kızınız {s10} ile evlenmek istiyorum. Bu yüzden yardımınızı istiyorum.
str_you_plan_to_marry_s3_at_a_feast_hosted_by_s4_in_s5_you_should_be_notifed_of_the_feast_as_soon_as_it_is_held|Yeri {s5} olarak belirlenen ve {s4} tarafından düzünlenen ziyafette {s3} ile evlenmeyi planlıyosunuz. Ziyafet hazır olur olmaz size haber verilecek.
str_your_s11_|
str_i_ask_again_may|
str_may|
str_very_well_as_far_as_im_concerned_i_suppose_she_can_see_most_anyone_she_likes__within_reason_of_course|Pekala. Düşündüm de sanırım sevdiği birisiyle görüşmesinde bir sakınca yok -- Tabii uslu durmak şartıyla.
str_very_well_an_alliance_with_you_could_be_valuable_go_chat_with_her_and_see_if_you_can_get_her_to_take_a_fancy_to_you_if_she_doesnt_and_if_we_still_want_to_conclude_this_business_then_i_can_make_her_see_reason|Pekala. Bir alyans senin için iyi olabilir. Git, onunla biraz muhabbet et, bak bakalım sana ilgi duyuyor mu. Şayet duymuyorsa ve biz bu işi sonuca bağlamakta kararlıysak, ben bizzat gidip bunu makul görmesini sağlayacağım .
str_you_have_my_blessing_to_pay_suit_to_her__so_long_as_your_intentions_are_honorable_of_course_depending_on_how_things_proceed_between_you_two_we_may_have_more_to_discuss_at_a_later_date|Ona uygun olduğun için gözümde değerlisin -- tabii niyetin onurlu olduğu sürece . İkinizin arasındaki gelişmelere göre belki ilerde daha fazla konu hakkında konuşabiliriz.
str_the_war_has_barely_begun_so_and_it_is_too_early_to_say_who_is_winning_and_who_is_losing|Savaş daha yeni başladı, yani kimin galip kimin malup olduğuna karar vermek için henüz erken.
str_we_have_been_hitting_them_very_hard_and_giving_them_little_chance_to_recover|Onlara çok sert bir şekilde saldırıyoruz ve toparlanmalar için çok az fırsat veriyoruz.
str_the_fighting_has_been_hard_but_we_have_definitely_been_getting_the_better_of_them|Çatışma baya zorlu geçiyor fakat kesinlikle onlardan üstün durumdayız.
str_they_have_been_hitting_us_very_hard_and_causing_great_suffering|Bize çok sert bir şekilde saldırıyorlar ve büyük bir ıstıraba sebep oluyorlar.
str_the_fighting_has_been_hard_and_i_am_afraid_that_we_have_been_having_the_worst_of_it|Savaş zorlu geçti ve korkarım onlardan kötü durumdayız.
str_both_sides_have_suffered_in_the_fighting|Savaş iki taraf içinde ızdıraplıydı.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_think_we_are_getting_the_better_of_them|Savaşta galip olan taraf henüz kesinleşmedi, fakat onlardan üstün durumda olduğumuzu düşünüyorum.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_fear_they_may_be_getting_the_better_of_us|Savaşta galip olan taraf henüz kesinleşmedi, fakat korkarım onlar bizden iyi durumda.
str_no_clear_winner_has_yet_emerged_in_the_fighting|Savaşta galip olan taraf henüz kesinleşmedi.
str_there_is_no_campaign_currently_in_progress|Halihazırda süregelen bir seferberlik yok.
str_we_are_assembling_the_army|Orduyu topluyoruz.
str_we_aim_to_take_the_fortress_of_s8|{s8} kalesini almayı hedefliyoruz.
str_we_are_on_a_raid_and_are_now_targeting_s8|Şuan akındayız ve hedefimiz {s8}
str_we_are_trying_to_seek_out_and_defeat_s8|{s8} hakkında araştırma yapmayı ve orayı devirmeyi dşüünüyoruz.
str_we_are_riding_to_the_defense_of_s8|{s8} savunmasına saldırmaya gidiyoruz.
str_we_are_gathering_for_a_feast_at_s8|{s8} topraklarında ziyafet veriyoruz
str__however_that_may_change_shortly_s14|Genede kısa zamanda değişebilir. {s14}
str_it_is_our_custom_to_seal_any_such_alliances_with_marriage_and_in_fact_we_have_been_looking_for_a_suitable_groom_for_my_s11_s14|Evliliği ittifakla mühürlemek bizim adetimizdir, ve aslında bizde {s14} için uygun bir damat adayı arıyorduk.
str_once_again_|birkez daha
str_cheat__marriage_proposal|Hile – evlilik teklifi
str_you_plan_to_marry_s4_as_you_have_no_family_in_calradia_he_will_organize_the_wedding_feast|{s4} ile evlenmeyi planlıyorsunuz. Kalradya'da herhangi bir aileniz olmadığı için, düğün şölenini onlar düzenleyecek.
str_s43_just_so_you_know_if_you_attack_me_you_will_be_in_violation_of_the_truce_you_signed_with_the_s34|{s43} sadece bil diye söylüyorum, şayet bana saldırırsan {s34} ile barışı bozmuş olacaksın.
str_very_well__you_are_now_my_liege_as_well_as_my_husband|Bunu kısa keselim: bütün müşterek yükümlülüklerin mesuliyetiyle, artık kocam ve efendimsin.
str_i_thank_you_reg39my_ladylord|Teşekkür ederim, {reg39?my lady:lord}.
str_now_some_might_say_that_women_have_no_business_leading_mercenary_companies_but_i_suspect_that_you_would_prove_them_wrong_what_do_you_say|Bazıların kadınların asker yönetemeyeceğini söyler, ama tahmni ediyorum sen bunun yanlış olduğunu onlara kanıtlayacaksın, ne diyorsun? 
str_what_do_you_say_to_entering_the_service_of_s9_as_a_mercenary_captain_i_have_no_doubt_that_you_would_be_up_to_the_task|{s9} hizmetine yüzbaşı olarak girmeye ne dersin? Bu göreve hiç düşünmeden kabul edeceğinden şüphem yok.
str_s9_asked_you_to_rescue_s13_who_is_prisoner_at_s24|{s9}, senden {s24} zindanında tutulan {s13} kişini kurtarmanı istedi.
str_s9_asked_you_to_attack_a_village_or_some_caravans_as_to_provoke_a_war_with_s13|{s9}, senden {s13} ile savaş başlatmak için köylerine ve kervanlarına saldırarak onları kışkırtmanı istedi.
str_s9_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_s4_alive_and_breathing_he_said_that_all_three_groups_are_heading_towards_s3|{s9}, senden 3 kaçak köle grubunu yakalayıp canlı olarak {s4} bölgesine geri getirmeni istedi. Söylediğine göre üç grup da {s3} yönüne kaçmışlar.
str_you_intend_to_bring_goods_to_s9_in_preparation_for_the_feast_which_will_be_held_as_soon_as_conditions_permit|Şartlar uygun olur olmaz {s9} içinde verilecek ziyafete hazırlık amaçlı yiyecek getirtmeyi planlamışsın.
str_hello_playername|Merhaba, {playername}
str_ah_my_gentle_playername_how_much_good_it_does_my_heart_to_see_you_again|Ah {playername}, benim nazik arkadaşım. Seni tekrar görebildiğim için nerdeyse kalbim yerinden fırlayacak!
str_playername__i_am_so_glad_to_see_you_again_i_must_say_i_do_envy_your_freedom_to_ride_out_and_experience_the_world|{playername} -- Seni tekrar gördüğüme memnun oldum. Şunu belirtmeliyim ki, uzaklara açılıp dünyayı araştıran maceracı ruhuna gıpta ediyorum.
str_playername__i_am_so_glad_to_see_you_i_trust_that_you_have_been_behaving_honorably_since_last_we_met|{playername} – Seni tekrar gördüğüme memnun oldum. İnanıyorum ki son karşılaşmamızdan beri onurunla yaşıyorsundur.
str_playername__i_am_so_glad_that_you_were_able_to_come|{playername} -- Gelebilmene çok sevindim.
str_i_do_enjoy_speaking_to_you_but_i_am_sure_you_understand_that_our_people_cluck_their_tongues_at_a_woman_to_spend_too_long_conversing_with_a_man_outside_her_family__although_the_heavens_know_its_never_the_man_who_is_held_to_blame_|Seninle görüşmekten elbette keyif alıyorum. Fakat eminin anlayacaksındır ki halkımız ailemizden olmayan bir erkekle konuşan bir kadını dillerine dolayacaklardır -- Bu erkeğin hiçbir hatası olmasa da. 
str_as_much_as_i_enjoy_speaking_to_you_i_do_not_care_to_be_gossiped_about_by_others_who_might_lack_my_grace_and_beauty_|Seninle görüşmekten büyük keyif almamla birlkite, benim zarafet ve güzellikten yoksun olduğumdan bahsedilen dedikodular da hiç umrumda değil.
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_one_of_the_great_families_of_this_land_i_must_set_an_example_of_propriety_|Ben de seninle görüşmekten keyif alıyorum ama bu diyarın büyük ailelerinden birinin kızı olarak, topluma örnek olmalıyım.
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_good_family_i_must_protect_my_reputation_|Ben de seninle görüşmekten keyif alıyorum ama iyi bir ailenin kızı olarak itibarımı korumam gerekiyor.
str_although_it_is_kind_of_you_to_pay_me_such_attentions_i_suspect_that_you_might_find_other_ladies_who_may_be_more_inclined_to_return_your_affection|Bana böyle ilgi göstermen çok hoş, fakat bana göre senin sevgine layık başka bayanlar bulmalısın.
str_as_flattered_as_i_am_by_your_attentions_perhaps_you_should_seek_out_another_lady_of_somewhat_shall_we_say_different_tastes|Bana duyduğun ilgi gururumu okşuyor olsa da, belki de başka türde bayanlar bulmalısın, yani nasıl desem, başka tatta bayanlar...
str_as_flattered_as_i_am_by_your_attentions_i_am_a_daughter_of_good_family_and_must_be_aware_of_my_reputation_it_is_not_seemly_that_i_converse_too_much_at_one_time_with_one_man_i_am_sure_you_understand_now_if_you_will_excuse_me|Bana duyduğun ilgi gururumu okşuyor olsa da, iyi bir ailenin kızıyım ve itibarımı korumam gerek. Aynı zamanda, tek seferde tek bir erkekle bu kadar çok vakit geçirmem görülmemiştir. Şimdi, müsadenle...
str_very_well__i_will_let_you_choose_the_time|Peki öyleyse -- zamanını sen seç.
str_good_i_am_glad_that_you_have_abandoned_the_notion_of_pushing_me_into_marriage_before_i_was_ready|Güzel! Ben daha hazır olmadan beni evlilik havasına sokmaya çalışmayı bırakmana sevindim.
str_i_am|Ben
str_s12_s11_to_s14|{s12} {s14}'{.nin} {s11}{.si}y{.im}
str_s12_i_am_here_for_the_feast|{s12}. Buraya şölene geldim.
str_another_tournament_dedication_oh_i_suppose_it_is_always_flattering|Başka bir turnuva ithamı daha mı? Oh, bu hep gurur verici olmuştur...
str_do_you_why_what_a_most_gallant_thing_to_say|Öyle mi? Tuhaf, çok efendice bir şey.
str_hmm_i_cannot_say_that_i_altogether_approve_of_such_frivolity_but_i_must_confess_myself_a_bit_flattered|Hmm... Böyle bir havailiği tasvip ettiğimi söyleyemem, ama hahiften gururlandığımı itiraf etmeliyim.
str_why_thank_you_you_are_most_kind_to_do_so|Hayret, teşekkür ederim. Çok kibarca bir şey.
str_you_are_most_courteous_and_courtesy_is_a_fine_virtue_|Çok incesiniz ve incelik büyük bir erdemdir.
str_hmm_youre_a_bold_one_but_i_like_that_|Hmm... Gözü pek birisiniz, ama hoşuma gitti.
str_ah_well_they_all_say_that_but_no_matter_a_compliment_well_delivered_is_at_least_a_good_start_|Ah, evet, bunu herkes söylüyor zaten. Ama sorun değil. Yerine ulaşmış her iltifat hiç olmazsa iyi bir başlangıçtır.
str_oh_do_you_mean_that_such_a_kind_thing_to_say|Oh! Ciddi misin? Çok kibarsın.
str_you_are_a_most_gallant_young_man_|Sen çok kibar bir gençsin.
str__do_come_and_see_me_again_soon|Beni tekrar görmeye mutlaka gel.
str_you_intend_to_ask_s12_for_permission_to_marry_s15|{s15} ile evlenebilmek için {s12} kişsinden izin istemeye niyetlisin.
str_you_intend_to_ask_s12_to_pressure_s10_to_marry_you|{s12} kişisinin, seninle evlenmesi için {s10} kişisine baskı yapmasını isteme niyetindesin.
str_do_be_careful_i_am_so_much_endebted_to_you_for_this|Dikkatli ol! Bunun için sana çok müteşekkirim...
str_go_then__we_shall_see_which_of_you_triumphs|Hadi, o zaman -- görelim bakalım hanginiz galip gelecek...
str_sigh_i_will_never_truly_understand_men_and_their_rash_actions|Aah ah... Erkekleri ve erkeklerin acelesi hareketlerini hiçbir zaman tam olarak anlamayacağım...
str_you_intend_to_challenge_s13_to_force_him_to_relinquish_his_suit_of_s11|{s13} kişisine, onu {s11} davasından vazgeçmesine zorlamak için meydan okuma niyetindesin.
str_farewell|Yolun açık olsun.
str_farewell_playername|Yolun açık olsun, {playername}.
str___we_believe_that_there_is_money_to_be_made_selling_|Satış yaparak para kazanabiliriz
str__we_carry_a_selection_of_goods_although_the_difference_in_prices_for_each_is_not_so_great_we_hope_to_make_a_profit_off_of_the_whole|Çok çeşitli mallarımız var. Kar payı fazla olmasa da sürümden kazanacağımızı düşünüyoruz
str_s14and_other_goods|{s14} ve diğer mallar.
str__have_you_not_signed_a_truce_with_our_lord|Lordumuzla barış imzalamadın mı?
str_parole|şartlı tahliye
str_normal|normal
str__meanwhile_s51_reg2areis_being_held_in_the_castle_but_reg2havehas_made_pledges_not_to_escape_and_reg2areis_being_held_in_more_comfortable_quarters|Bu arada, {s51} kalede tutuluyor, ama kaçmaya kalkışmayacağına yemin ettiği için, daha rahat taraflarda tutuluyor.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_it_would_boost_your_own_standing_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|Farkında mısınız bilmiyorum lordum, ama, {s4} ile {s5} münakaşa toprak bütünlüğünü tehdit ediyor ve otoritenizi sarsıyor. Onları anlaşmaya ikna edebilirseniz bu sizin statünüzü sağlamlaştıracaktır. Ama bu işe kalkışırsanız, lordların sizin düşman lehine çalıştığınızı düşünmesi riskini de göze almış olursunuz.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_i_imagine_that_s7_would_be_most_pleased_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|Farkında mısınız bilmiyorum lordum, ama, {s4} ile {s5} münakaşa toprak bütünlüğünü tehdit ediyor ve otoritenizi sarsıyor. Onları anlaşmaya ikna edebilirseniz, düşünsenize {s7} bundan çok memnun olacaktır. Ama bu işe kalkışırsanız, lordların sizin düşman lehine çalıştığınızı düşünmesi riskini de göze almış olursunuz.
str__of_course_the_land_is_currently_at_peace_so_you_may_have_better_luck_in_other_realms|Elbette, şu an bariş halindeyiz, bu yüzden diyar krallıklarda daha şanslı olabilirsiniz.
str_here|burada
str_over| bitti
str_s8_in_s12|{s12} topraklarındaki {s8}
str__has_put_together_a_bounty_on_some_bandits_who_have_been_attacking_travellers_in_the_area| seyyahlara saldıran haydutların başıan ödül koymuş.
str__is_looking_for_a_way_to_avoid_an_impending_war| muhtemel bir savaştan kaçınmanın yollarını arıyor.
str__may_need_help_rescuing_an_imprisoned_family_member| esir edilmiş bir aile ferdini kurtarmak için yardıma ihtiyaç duyabilir.
str__has_been_asking_around_for_someone_who_might_want_work_id_watch_yourself_with_him_though| etrafta, iş isteyen birisi var mı diye dolanıyor. Yerinde olsam ona dikkat ederdim.
str_town|şehir.
str_castle|kale.
str__but_he_is_holding_there_as_a_prisoner_at_dungeon_of_s13| Fakat o {s13} zindanında esir olarak tutuluyor,
str_they_say_that_s9_is_a_most_conventional_maiden__devoted_to_her_family_of_a_kind_and_gentle_temperament_a_lady_in_all_her_way|Dediklerine göre {s9} ailesine ve geleneklerine bağlı, iyi ve nazik mizaçlı, her yönden uyumlu bir bayanmış.
str_they_say_that_s9_is_a_bit_of_a_romantic_a_dreamer__of_a_gentle_temperament_yet_unpredictable_she_is_likely_to_be_led_by_her_passions_and_will_be_trouble_for_her_family_ill_wager|Dediklerine göre {s9} biraz romantik, hayalperest – nazik mizaçlı, fakat yine de tam olarak ne yapacağı kestirilemeyen bir bayanmış. Bahse girerim tutkularına tutsak ve ailesine sıkıntı getirecek birisidir.
str_they_say_that_s9_is_determined_to_marry_well_and_make_her_mark_in_the_world_she_may_be_a_tremendous_asset_for_her_husband__provided_he_can_satisfy_her_ambition|Dediklerine göre {s9} evlenmeye kararlı ve namını dünyaya duyurmuş bir bayanmış. Eşi onun isteklerini yerine getirdiği sürece, çok kıymetli bir eş olacaktır!
str_they_say_that_s9_loves_to_hunt_and_ride_maybe_she_wishes_she_were_a_man_whoever_she_marries_will_have_a_tough_job_keeping_the_upper_hand_i_would_say|Dediklerine göre {s9} avlanmayı ve at sürmeyi çok severmiş. Belki de erkek olmayı istiyorudur! Bana göre onunla evlenen kişinin onu zaptetmesi zor olacak.
str_they_say_that_s9_is_a_lady_of_the_highest_moral_standards_very_admirable_very_admirable__and_very_hard_to_please_ill_warrant|Dediklerine göre {s9} yüksek standartlara alışın bir bayanmış. Çok güzel, çok çekici -- ve mutlu etmesi çok zor, garanti ediyorum.
str_s9_is_now_betrothed_to_s11_soon_we_believe_there_shall_be_a_wedding|{s9} ile {s11} nişanlılar. Yakında, bir düğün olacağına inanıyoruz.
str_i_have_not_heard_any_news_about_her|Onun hakkında hiçbir şey duymadım.
str_they_say_that_s9_has_shown_favor_to_s11_perhaps_it_will_not_be_long_until_they_are_betrothed__if_her_family_permits|Dediklerine göre {s9}, {s11} ile ilgileniyormuş. Ailesi izin verirse belki de nişan günü yakındır.
str_they_say_that_s9_has_been_forced_by_her_family_into_betrothal_with_s11|Dediklerine göre {s9}, {s11} ile nişanlanması için ailesi tarafından baskı görüyormuş.
str_they_say_that_s9_has_agreed_to_s11s_suit_and_the_two_are_now_betrothed|Dediklerine göre {s9}, hayatını {s11} ile yaşamaya kadar vevrmiş, ve şu anda nişanlılarmış.
str_they_say_that_s9_under_pressure_from_her_family_has_agreed_to_betrothal_with_s11|Dediklerine göre {s9}, ailesinin baskısıyla {s11} ile nişanlanmayı kabul etmiş.
str_they_say_that_s9_has_refused_s11s_suit|Dediklerine göre {s9}, {s11} ile evlenmeyi reddetmiş.
str_they_say_that_s11_has_tired_of_pursuing_s9|Dediklerine göre {s11}, {s9} ile uğraşmaktan bıkmış.
str_they_say_that_s9s_family_has_forced_her_to_renounce_s11_whom_she_much_loved|Dediklerine göre {s9}, ailesi tarafından çok sevdiği {s11} ile bağlarını koparmaya zorlanıyormuş.
str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|Dediklerine göre {s9}, {s11} ile kaçarak ailesine dert olmuş.
str_they_say_that_s9_and_s11_have_wed|Dediklerine göre {s9} ve {s11} evlenmişler.
str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|Dediklerine göre {s9}, yakın zamanda {s11} tarafından ziyaret edilmiş. Bunun nereye gideceğini kim bilebilir!
str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|Söylenecek çok şey var ama henüz vakti gelmedi.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12}Halihazırda {s3} sahipliğinde, {s4} içinde bir ziyafet var, ama birkaç gündür devam ediyor ve bitmek üzere.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12}Halihazırda {s3} sahipliğinde, {s4} içinde, en az bir gün daha devam edecek bir ziyafet var.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12}Halihazırda {s3} sahipliğinde, {s4} içinde, daha yeni başlamış bir ziyafet var.
str_not_at_this_time_no|Şu anda mı, hayır.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}büyük lordar görsünler ve görünsünler diye, kızlarını ve kızkardeşlerini bu kutlamalara getiriyorlar, böylece onlar bir leydiyle tanışmak için mükemmel bir fırsat bulmuş oluyorlar.
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|Pişman olmaycaksınız {efendim/hanımım}. Kalradya'da bizden iyi savaşçılar bulamazsınız.
str_your_excellency|ekselansları
str_s10_and_s11|{s10} ve {s11}
str_your_loyal_subjects|sadık adamlarınız
str_loyal_subjects_of_s10|{s10} sadık adamları
str_the|
str_we|biz
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|{s7}, {s11} içinde savaş çağrıları yapıyor, onu bulup bozguna uğratmalısın.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|{s8} civarında seyyahlara saldıran {s9} ile ilgilenmen gerekiyor, onu bulup bozguna uğrat ve şehre dönüp rapor ver.
str_do_you_wish_to_award_it_to_one_of_your_vassals|Derebeylerinden birini onunla ödüllendirmek ister misin?
str_who_do_you_wish_to_give_it_to|Onu kime vermek istersin?
str_sire_my_lady_we_have_taken_s1_s2|Efendim, {s1}, tarafımızdan ele geçirildi. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}{s1} benim olsun istiyorum. {s2}
str_fiefs_s0|(topraklar: {s0})
str_production_setting_buy_from_market|Pazardan hammadde satın alıyoruz.
str_production_setting_buy_from_inventory|Envanterimizde sadece hammadde var.
str_production_setting_produce_to_inventory|Hasılatımızı envantere yerleştiriyoruz.
str_production_setting_produce_to_market|Hasılatımızı direk satıyoruz.
str_feast_quest_expired|Planladığın ziyafeti veremedin. Büyük ihtimalle seferberlik veya diğer şeyler araya girmiştir. İstersen ziyafet vermeyi tekrar deneyebilirsin.
str_whereabouts_unknown|Nerede olduğu bilinmiyor.
str_mulberry_groves|dönümlerce dut bağı
str_olive_groves|dönümlerce zeytin bağı
str_acres_flax|dönümlerce keten tarlası
str_enterprise_enemy_realm|Efendim, bu ülkenin düşmanı değilsiniz. Buradan toprak almanıza müsaade edemeyiz.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|{s14} kişisinin {s12} ile konuşma şekli hoşuna gitmiyor ve {s13} ile görüşüp, şikayet etmeyi düşünüyorsun.
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|{s12}'{.nin} kışartmasıyla, {s14}{.ne} yüzüne karşı hakaret etmeye niyetlendin.
str_you_intend_to_bring_gift_for_s14|{s12} için kadife ve kürk getirmeyi düşünüyorsun, böylece o {s14} ile aralarını düzeltmeyi nedeyebilir.
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|Ordumuzu toplayacağız, ama bir hedefimiz olmadan sefere çıkmıyoruz.
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|Gücümüzü onların tehlikeye en açık kalelerine yönelteceğiz.
str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|Onlara büyük bir zarar verecek, güçlü bir saldırı yapma niyetindeyiz.
str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|Kolayca savunabileceğimiz bir kale almayı planlıyoruz.
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|Savaştan çekilmeleri için en zengin topraklarından doğru ardımızda ateşli bir iz bırakıyoruz.
str_strategy_criticism_rash|Bana göre bu strateji çok düşüncesizce bir strateji ve kuvvetlerimizi gereksiz yere tehlikeye sokacak.
