dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_mayor_looters_quest_destroyed_2:mayor_looters_quest_response|Başka bir ihtiyacın var mı?
dlga_mayor_looters_quest_goods:mayor_looters_quest_goods_response|Sana güvenebileceğimi biliyordum! Yükünden hangi ürünün alınacağını söyle ben de onu alması için birilerini göndereyim. Hala {reg1} dinar değerinde ürüne ihtiyacım var.
dlga_mayor_looters_quest_goods_response:mayor_looters_quest_goods_2|{s5}.
dlga_mayor_looters_quest_goods_response:mayor_looters_quest_goods_3|Şu anda birşey yok.
dlga_mayor_looters_quest_goods_3:mayor_looters_quest_response|Başka bir ihtiyacınız var mı?
dlga_mayor_looters_quest_goods_2:mayor_looters_quest_goods_response|Harika, elindeki {s6} için para burada. Bana verebileceğin başka mal var mı? Hala {reg1} dinar değerinde mala ihtiyacım var.
dlga_mayor_looters_quest_goods_2:close_window|İyi iş, {playername}, ihtiyacım olan son mallar da bunlardı. {s6} için para burada ve işimi gördüğün için biraz da fazladan veriyorum. Korkarım bundan sonra bir süre mal veya yakaladığın suçlular için para ödeyemeyeceğim, ama tabii ki daha kalan varsa onları da haklamakta serbestsin! Yardımın için teşekkürler, bunu unutmayacağım.
dlga_mayor_begin:close_window|Seni tekrar görmek güzel {playername}. Duydum ki sürüyü sağ salim teslim etmişsin. Tüccarlara nasıl güvenilir bir adam olduğundan bahsedeceğim. Hah, buyur, işte ödemen, {reg8} dinar.
dlga_mayor_begin:move_cattle_herd_failed|Duydum ki {s9} yolunda sürüyü ve sığırları kaybetmişsin. Sürünün sahibine olayı açıklamaya çalışmak çok zor oldu, {beyim/hanımım}. Söyleyeceğin birşey var mı?
dlga_move_cattle_herd_failed:move_cattle_herd_failed_2|Üzgünüm, ama yolda saldırıya uğradım.
dlga_move_cattle_herd_failed:move_cattle_herd_failed_2.1|Üzgünüm. O aptal hayvanlar geceyarısı yürüyüp gitmişler!
dlga_move_cattle_herd_failed_2:merchant_ask_for_debts|Senin vazifen ne olursa olsun o sürüyü sağ salim teslim etmekti. Sürünün sahibi kayıpları için tazminat istedi ve ona 1000 dinar ödemek zorunda kaldım. Yani sen de bana 1000 dinar borçlanmış oldun.
dlga_mayor_begin:close_window.1|Değerli {playername}. Arkadaşımın kızını geri getirdiğin için sana minnettarım. Lütfen buradaki {reg8} dinarı al. Arkadaşım daha yüksek bir ödeme yapabilmeyi isterdi ama ödediği o fidye onu epey darboğaza soktu.
dlga_mayor_begin:mayor_friendly_pretalk|Pekala – görünüşe göre haydutların izini sürüp, onlara ticareti baltalamalarının neyle sonuçlanacağını göstermişsin. İşte ödülün, {reg5} dinar. Bu parayı hak ettin, ve bizlerde sana minnettarız.
dlga_mayor_begin:mayor_friendly_pretalk.1|Marifetlerini kulağıma kadar geldi. O haydutlara hak ettikleri cezayı vermişsin. Gerçekten de söyledikleri kadar iyisin. İşte ödülün, {reg5} dinar. Daha fazla ödeme yapmak isterdim ama bu haydutlar yüzünden neredeyse iflas ediyorduk.
dlga_mayor_begin:merchant_ask_for_debts|Benim hesaplarıma göre tüccarlar loncasına {reg1} dinar borcun var. Şimdi ödemeyi alsam iyi olur.
dlga_merchant_ask_for_debts:merchant_debts_paid|Pekala, sana olan borcumu ödeyeceğim.
dlga_merchant_debts_paid:mayor_pretalk|Fevkalade. Bütün tüccar dostlarıma artık bir borcunun olmadığı haberini vereceğim.
dlga_merchant_ask_for_debts:merchant_debts_not_paid|Korkarım bu miktarı şimdi ödeyemeyeceğim.
dlga_merchant_debts_not_paid:close_window|Bu durumda, korkarım, seninle ilgilenen ben olmayacağım. Lonca kanunları... {reg1} dinarı ödeyebileceğin zaman gel. Ayrıca borcuna faiz bindiğini de unutma. Yani ne kadar erken ödersen, o kadar iyi.
dlga_mayor_begin:mayor_talk|Senin için ne yapabilirim?
dlga_mayor_friendly_pretalk:mayor_talk|Pekala, senin için yapabileceğim başka birşey var mı?
dlga_mayor_pretalk:mayor_talk|Evet?
dlga_mayor_talk:mayor_info_begin|Yaptığın şeyle ilgili bana biraz bilgi verebilir misin?
dlga_mayor_talk:merchant_quest_requested|Benim için bir görevin var mı?
dlga_mayor_talk:merchant_quest_last_offered_job|Bana önerdiğin şu işle ilgili olarak...
dlga_mayor_talk:merchant_quest_about_job|Bana verdiğin şu işle ilgili olarak...
dlga_mayor_talk:mayor_political_talk|Politik konularla ilgili bir kaç sorum var.
dlga_mayor_talk:mayor_economy_report_1|Buralarda ticaret nasıl?
dlga_mayor_talk:mayor_wealth_comparison_1|Bu bölgenin zenginliği Kalradyanın geri kalanıyla kıyasla nasıldır?
dlga_mayor_talk:mayor_investment_possible|Bu şehirden işletme amaçlı toprak satın almak istiyorum
dlga_mayor_investment_possible:mayor_pretalk|Hükümdarımızla ilişkiniz düşünülecek olursa buralarda size arsa satacak kadar cesur birini bulmanız zor olacaktır.
dlga_mayor_investment_possible:mayor_investment_advice|Evet, biz bu özelliği test ediyoruz. Doğruca git.
dlga_mayor_investment_possible:mayor_pretalk.1|{s9}
dlga_mayor_investment_possible:mayor_investment_advice.1|Tabii ki, {beyim/hanımım}. Siz bu kasabanın lordusunuz, ve kimse sizi durduracak değil. 
dlga_mayor_investment_possible:mayor_investment|Well... Given your relationship with our liege, {s4}, I think that you will not find many here who are brave enough to sell you any land.
dlga_mayor_investment_possible:mayor_pretalk.2|Pekala... Dürüst olmak gerekirse, lonca üyeleri sizi daha yakından tanımak isteyeceklerdir. Buraya gelip toprak satın almak isteyen yabancılara konusunda oldukça titizdirler.
dlga_mayor_investment_possible:mayor_investment_advice.2|Çok güzel, {beyim/hanımım}. Bu locadaki bizler sizi tanıyor ve güveniyoruz, ve sanırım sizin ihtiyacınız olan araziyi size satacak birisini bulabilirim.
dlga_mayor_investment_advice:investment_choose_enterprise|Aklınızda tutmanız gereken bir kaç şey var – burada vasıflı ustalar az bulunur. Bu yüzden burada birden fazla işletme açabileceğinizden kuşkuluyum. Size yara sağlayabilecek bir kar elde etmeniz için, buralarda az bulunan fakat hammaddesi ucuz olan bir malın ticaretini yapmalısınız. Ne tür bir işletme açmayı düşünüyorsunuz?
dlga_investment_choose_enterprise:investment_summary|Bir değirmen ve fırın, buğdaydan ekmek yapmak için
dlga_investment_choose_enterprise:investment_summary.1|Bir bira imalathanesi, arpadan bira yapmak için
dlga_investment_choose_enterprise:investment_summary.2|Bir tabakhane, hayvan postundan deri yapmak için.
dlga_investment_choose_enterprise:investment_summary.3|Bir şarap imalathanesi, üzümlerden şarap yapmak için
dlga_investment_choose_enterprise:investment_summary.4|Bir yağhane, zeytinden zeytinyağı çıkarmak için
dlga_investment_choose_enterprise:investment_summary.5|Bir demirci, demirden demir eşyalar yapmak için.
dlga_investment_choose_enterprise:investment_summary.6|Bir dokumacı ve boyacı, boya ve ipek ile kadife yapmak için
dlga_investment_choose_enterprise:investment_summary.7|Bir dokumacı, yünden kıyafet yapmak için
dlga_investment_choose_enterprise:investment_summary.8|Bir dokumacı, ketenden kumaş yapmak için
dlga_investment_choose_enterprise:mayor_pretalk|Boş ver
dlga_investment_summary:mayor_investment_confirm|Pekala Efendim. {s3} inşaa etmek için gereken arazi ve malzemeler size {reg7} dinara mal olacak. Şu an, haftalık {reg1} dinar tutarında {s4} üretebilirsiniz, ve bu tek birimi üretmek için gereken {s6} maliyeti {reg2} dinar, tüm işçi ve bakım masrafları ise {reg3} dinar olacaktır.{s9} Harcamalarınızı çıkarttığımızda ve bütün üretilenler satıldığında haftalık karınız {reg0} dinar olacaktır. Tabii bu hesap fiyatların sabit kalması koşulu ile doğru olur ki size garanti veririm sabit kalmayacaktır. İşleri başlatmak ister misiniz?
dlga_mayor_investment_confirm:mayor_investment_purchase|Evet. İşte yatırım için gereken para.
dlga_mayor_investment_confirm:mayor_pretalk|Hayır -- bu şu an için karlı gözükmüyor.
dlga_mayor_investment_purchase:mayor_pretalk|Çok iyi. İşletmeniz bir hafta içinde çalışır durumda olur. Bir dahaki sefer geldiğinizde işler hakkında {s4} ile konuşabilirsiniz. 
dlga_mayor_talk:close_window|[Ayrıl]
dlga_mayor_info_begin:mayor_info_talk|{s9} lonca lideri benim. {s9} halkının lideriyim de diyebilirsin. Hakkınla para kazanmak istiyorsan sana bir iş bulabilirim.
dlga_mayor_info_talk:mayor_info_lord|Bu şehri kim yönetiyor?
dlga_mayor_info_lord:mayor_info_talk|{s10} şehrimizin yöneticisi ve koruyucusudur. Kale ona aittir ve zaman zaman gelip orada kalır ve vergileri toplar. Fakat kendi içimizdeki konulara çoğunlukla kendimiz çözümler buluruz. Şehrin lonca lideri olarak bu işlere karar verme sorumluluğu bana aittir.
dlga_mayor_info_talk:mayor_pretalk|Bilmek istediğim buydu, teşekkürler.
dlga_mayor_political_talk:mayor_political_questions|Politika mı? Tanrı aşkına, bu loncanın politika ile herhangi bir alakası yoktur. Biz sadık {s10} hizmetlileriyiz. Sadece kendi iç işlerimizle ilgileniriz, ve halkın sorunlarını lordlarımıza ve efendilerimize iletiriz. Bazen de, onları kötü tavsiyelere karşı uyarırız. Herneyse, niye sormuştunuz?
dlga_mayor_prepolitics:mayor_political_questions|Size hepimizin {s9} olduğunu söylemiş miydim? Bunun üzerinde yeteri kadar duramam, çünkü... Herneyse... Başka bir şey var mıydı?
dlga_mayor_political_questions:mayor_war_description_1|Kalradya'da ki tüm bu savaşların sebebi nedir?
dlga_mayor_war_description_1:mayor_war_description_2|Şey, sorunu genel anlamda cevaplamak gerekirse, her krallık kendisinin eski Kalradya imparatorlarının varisi olduğu söyler. Kimisi bu iddiayı unutulmuş hanedan evliliklerine dayandırır, kimisiyse doğruluğu meçhul yeminlere dayandırır, {s22} Rodoklar da imparatorluğun yazılmamış anayasasına dayandırır. Yani teoride, her ülke bir diğer ülkeye savaş açma hakkını kendinde görür.
dlga_mayor_war_description_2:mayor_war_description_3|Pratikte, savaşmak yorucu bir iştir. Düşmanın tarlalarını talan etmek kolaydır, fakat tarlalar tekrar büyür, ve bu düşmanın kalesini ele geçirmekten ve elinde tutmaktan çok farklı bir iştir. Bu yüzden Kalradya'nın kralları biraz savaşır, ateşkes imzalar, sonra yine savaşır ve bu böyle gider. Bazen, bazı kralıklar başka bir krallığın kışkırtmasına gelir ve savaşa gider. Bu tür zamanlarda, fidyeler ve ganimetlerle kendilerini zenginleştirenler karşılık için yaygara çıkartırlar ve bundandır ki savaş yüzünden krallığın ekonomisine gelen zarar, hiç birşey yapmamaktan krallığın itibarına gelen zarardan daha azdır. Tabii ki {s10} hakkında konuşmuyorum. Kimse onun otoritesini sorgulamak hevesinde değil.
dlga_mayor_war_description_3:mayor_war_description_4|Tekrar vurgulamam gerekiyor ki, loncamızın politika ile herhangi bir alakası yoktur. Fakat eğer {s10} bana bu konularda ki fikrimi sorsaydı, Kalradya üzerinde ki tüm yaptırımları yerinde ve doğru olsa da {reg4?ona:ona}, en haklı davanın bile silahlı adam gerektirdiğini, ve silahlı adamların para gerektirdiğini, ve para ticaretten geldiğini, ve savaşın ticareti mahvettiğini, bu yüzden de bazen bir davayı sürdürmenin en iyi yolunun aslında onu sürdürmemek olduğunu söylerdim. 
dlga_mayor_war_description_4:mayor_prepolitics|{s10} ile karşılaşırsanız bunu {reg4?ona:ona} söyleyebilirsiniz. Benden doğrudan bahsetmeyin – sadece '{s4} halkı' söyledi deyin. Bizim kişisel düşüncemiz, tabii ki, lordumuzun menfaatleri doğrultusundadır. Hiçbirimiz krallığın hükümdarının yasal iddialarını sorgulamayı düşünmez bile.
dlga_mayor_political_questions:mayor_politics_assess|{s10} Kalradya'nın diğer ülkelerine karşı nasıl nasıl bir politika içinde?
dlga_mayor_politics_assess:mayor_politics_assess_realm|Aklınızda hangi ülke vardı?
dlga_mayor_politics_assess_realm:mayor_politics_give_realm_assessment|{s11}
dlga_mayor_politics_give_realm_assessment:mayor_prepolitics|{s14}
dlga_mayor_political_questions:mayor_internal_politics|Ülkenin iç politikası hakkında ne söyleyebilirsin?
dlga_mayor_internal_politics:mayor_internal_politics_2|Şey, biz burada, {s4} topraklarında, {s5} için duyduğumuz sevgi ve onun Kalradya hükümdarı olmak için yürüttüğü haklı mücadeleye verdiğimiz destekle bir aradayız. Fakat diğer krallıklarda bazı iç çekişmelerin olduğu kulağıma çalındı...
dlga_mayor_internal_politics_2:mayor_internal_politics_3|Bir krallığın lordları şeref, savaş stratejisi ve soylu bir adamın nasıl davranması gerektiği konularında nadiren farklı düşünürler. Ek olarak hükmeden olmak adına birbirleriyle yarışırlar, bu yüzden daima konumlarını tartarlar: kendilerinin konumlarını, arkadaşlarının ve ailelerinin konumlarını, ve düşmanlarının konumlarını.
dlga_mayor_internal_politics_3:mayor_internal_politics_4|Tüm dengeler göz önüne alındığında bir lordun derebeyliğini terk edip bir başkasına bağlılık yemini etme olasılığı vardır. Kuramsal olarak her lord derebeylik yemini eder, ama pratikte bir derebeyi bu sorumluluktan kurtulmanın bir yolunu daima bulur. Derebeyi, hükümdarının kendisini koruma ve ona adilce davranma görevlerini yerine getiremediğini iddia edebilir. Veya efendisinin gücü zorla ele geçirdiğini iddia edebilir, ve hatta başka birinin krallık tahtına uygun olduğunu da iddia edebilir.
dlga_mayor_internal_politics_4:mayor_internal_politics_5|Hükümdarlar ve derebeyleri birbirlerini daima dikkatle izler. Eğer bir kral adamlarından birinin taraf değiştireceğini veya isyan edeceğini düşünürse, onu hainlikle suçlayıp mallarına el koyabilir. Aynı şekilde, eğer bir derebeyi, kral tarafından suçlanacağını düşünürse isyan edebilir. Genellikle ilk hamleyi yapan derebeyinin kalesini kontrolü altına alır.
dlga_mayor_internal_politics_5:mayor_prepolitics|Şimdi, insanlar çok çabuk taraf değiştirebilen birine güvenmezler, ama herkesi ihanetle suçlayan bir krala da güvenmezler. Bu iki etken bir krallığı ayakta tutar. Fakat eğer hükümdarla derebeyleri arasındaki ilişkiler yeterince kötüleşirse, ipler gerçekten kopabilir... Diğer ülkelerde, tabii ki. Böyle şeyler burada, {s4} topraklarında hiç olmaz.
dlga_mayor_political_questions:mayor_pretalk|Hepsi bu kadar. Teşekkür ederim.
dlga_merchant_quest_about_job:merchant_quest_about_job_2|Nedir?
dlga_merchant_quest_about_job_2:merchant_quest_what_if_fail|Tamamlayamazsam ne olur?
dlga_merchant_quest_about_job_2:merchant_quest_about_job_working|Eh, hala üzerinde çalışıyorum.
dlga_merchant_quest_about_job_working:mayor_pretalk|Güzel. Halledebileceğinden şüphem yok.
dlga_merchant_quest_last_offered_job:merchant_quest_brief|Bunu tekrardan gözden geçirmek istiyorsun. Güzel...
dlga_merchant_quest_what_if_fail:mayor_pretalk|Umarım başarısız olmazsın. Öyle bir durumda taşıdığın yükün bedelini istemek zorunda kalırım.
dlga_merchant_quest_what_if_fail:mayor_pretalk.1|Pekala, sadece elinden gelenenin en iyisini yap ve bu işi bitir.
dlga_merchant_quest_taken:mayor_pretalk|Harika, sana güveniyorum! İyi şanslar.
dlga_merchant_quest_stall:mayor_pretalk|Bu işi birkaç gün daha açık tutabilirim. Eğer almaya karar verirsen bana söyle.
dlga_mayor_economy_report_1:mayor_economy_report_2|{s32}
dlga_mayor_economy_report_2:mayor_economy_report_3|{s42}
dlga_mayor_economy_report_3:mayor_pretalk|{s47}
dlga_merchant_quest_requested:merchant_quest_brief|Yeterince sağlam görünüyorsun. Elimde sana göre bir iş olabilir...
dlga_merchant_quest_brief:merchant_quest_looters_choice|Yakın zamanda {s5} civarında çarpışmalar yaşadık, oluşan arbede ve curcunada buranın yerli halkından da yağmalamaya girişenler oldu. Tezgahlar ve tarlalar yağmalandı. Pek çok değerli mal çalındı. Şimdi o şerefsizlere günlerini gösterebilecek bir adama ihtiyacım var. Halledebilir misin peki?
dlga_merchant_quest_looters_choice:merchant_quest_looters_brief|Tamamdır, bunu yapabilirim.
dlga_merchant_quest_looters_choice:merchant_quest_stall|Korkarım şu an bu işi alamam.
dlga_merchant_quest_looters_brief:close_window|Harika, yağmacıları bu varoşlarda dolaşırken bulabilirsin. Muhtemelen bir yerleri yağmalamaya çalışıyorlardır. İster onları yakala istersen de öldür. Sonlarının ne olacağı beni ilgilendirmiyor. Kökünü kuruttuğun her yağmacı çetesi için sana 40 dinar vereceğim.
dlga_merchant_quest_requested:merchant_quest_explain_2|Şey, bize yapabileceğiniz çok büyük bir iyilik var... Bazı {s10}ların sınırı geçip insanlarımıza saldırdığını duymuşsunuzdur. {s5}, kavga meraklısı derebeyleri tarafından savaş ilan etmeye zorlanıyor. Ne yazık ki, ülkenin büyük lordları kıyımdan kazanç sağlarken arada kalan bizler acı çekeceğiz.
dlga_merchant_quest_explain_2:merchant_quest_brief|Biz, {s5} bu saldırıyı görmezden gelecek demiyoruz -- tam tersine! Ancak eğer kendi lordlarından birini karşılık vermek için yetkilendirilirse, bu kışkırtma döngüsü kesin bir yüzleşmeye dönüşecek. Yani, bir yabancı içeriye dalıp {s10} bir lordu savaşta mağlup ederse, adalet yerini bulacak ve savaşın patırtısına son verecektir. Eğer yenilen lord tanınmış bir baş belası ise -- {s7} -- o zaman {s10}lar bunu görmezden gelebilir.
dlga_merchant_quest_brief:merchant_quest_retaliate_confirm|{s7} üzerine saldırıp onu yenmeniz gerek. Bu kolay bir iş olmayacaktır, ve bu yabancı da {s10} insanlarla olan ilişkilerine zarar verecektir; ama biz size minnettar olacağız. O yabancıyla bir bağlantımız olmamış olacak, fakat onun cömertçe ödüllendirildiğini de garanti edeceğiz... Bunu yapar mısınız?
dlga_merchant_quest_retaliate_confirm:merchant_quest_track_bandits_brief|Tamamdır, yapabilirim.
dlga_merchant_quest_retaliate_confirm:merchant_pretalk|Böyle şeylere karışmamayı yeğlerim
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice|Akıncılar büyük ihtimalle gemilerini iyice gizlenmiş bir körfeze çektiler, muhtemelen sahil şeridinde su ihtiyaçlarını giderebilecekleri bir ırmağın yakınlarına. Yerlerini tespit etmenin en iyi yolu bir akıncıyı sığınaklarına erzak almaya giderken takip etmek olacaktır.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.1|Bu tip haydutlar genelde çöl yakınlarındaki tepeciklerde saklanırlar. Bahar gibi de kanyonda saklanırlar. Bu da onların hem su ihtiyacını, hem de gizliliklerini sağlar. Yerlerini tespit etmenin en iyi yolu bir grup çöl haydutunu sığınaklarına erzak almaya giderken takip etmek olacaktır.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.2|Bu tip haydutlar genelde yüksek tepelerde saklanırlar. Bazen bütün kasabayı gözetleyebilecekleri sarp kayalıklarda saklanırlar ve bu da onlara aniden baskın yapmayı neredeyse imkansız kılıyor. Onların yerini tespit etmenin en iyi yolu bir grup dağ haydutunu sığınaklarına erzak almaya giderken takip etmek olacaktır.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.3|Bu tip haydutlar genelde ormanın derinliklerine kamp alanlarını kurarlar. Bazen de bir bataklığın tam ortasına. Yerlerini tespit etmenin en iyi yolu bir grup orman haydutunu sığınaklarına erzak almaya giderken takip etmek olacaktır.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.4|Bu tip haydutlar genelde gizlenebilecekleri bozkır ormanlarında kamp alanlarını kurarlar. Yerlerini tespit etmenin en iyi yolu bir grup bozkır haydutunu sığınaklarına erzak almaya giderken takip etmek olacaktır.
dlga_destroy_lair_quest_brief:merchant_quest_track_bandit_lair_choice.5|Bu tip haydutlar genelde ormanın derinliklerine kamp alanlarını kurarlar. Yerlerini tespit etmenin en iyi yolu bir grup tundra haydutunu sığınaklarına erzak almaya giderken takip etmek olacaktır.
dlga_merchant_quest_track_bandit_lair_choice:merchant_quest_destroy_lair_brief|Tamamdır, yapacağım.
dlga_merchant_quest_track_bandit_lair_choice:lord_pretalk|Korkarım işi şuan alamayacağım.
dlga_merchant_quest_destroy_lair_brief:close_window|Çok iyi. İyi haberini bekleyeceğiz.
dlga_merchant_quest_requested:merchant_quest_brief.1|Duyduk ki {s4}, {s5}{reg4?{.e} giden:{.den} gelen} bazı yolcular {s7} tarafından saldırıya uğramış.
dlga_merchant_quest_brief:merchant_quest_track_bandits_choice|Şu {s4}{.leri} takip etmeni istiyoruz. Kasabanın tüccarları haydutların liderlerinin eşkâlini almışlar ve kellesinin üzerine ödül koymuşlar. Eğer onları bulup yok edersen, emeğini boşa çıkartmayız.
dlga_merchant_quest_track_bandits_choice:merchant_quest_track_bandits_brief|Tamamdır, yapacağım.
dlga_merchant_quest_track_bandits_brief:close_window|Çok iyi. Adamlar çok uzağa gitmiş olamaz, büyük ihtimalle diğer yolcular tarafından farkedileceklerdir.
dlga_merchant_quest_track_bandits_choice:merchant_quest_stall|Korkarım görevi şuan alamayacağım.
dlga_merchant_quest_requested:merchant_quest_brief.2|İş mi arıyorsunuz? Aslında benim için {s4} teslimatı yapabilecek birilerini arıyordum. Belki de sen yapabilirsin...
dlga_merchant_quest_brief:merchant_quest_brief_deliver_wine|Elimde {s4} meyhanesine teslim edilmesi gereken bir miktar {s6} var. Eğer yanına {reg5} {s6} alıp 7 gün içinde {s4} içinde olabilirsen {reg8} dinar kazanabilirsin. Ne diyorsun?
dlga_merchant_quest_brief_deliver_wine:merchant_quest_taken|Pekala, teslimatı yapacağım.
dlga_merchant_quest_brief_deliver_wine:merchant_quest_stall|Korkarım bu kadar yükü şu anda taşıyamam.
dlga_merchant_quest_requested:merchant_quest_brief.3|İş mi arıyorsun? Aslında bir karavana eşlik edebilecek birilerini arıyordum. Belki de sen yapabilirsin...
dlga_merchant_quest_brief:escort_merchant_caravan_quest_brief|{s8} yönüne erzak yüklü bir kervan gönderiyorum. Fakat yollarda bütün bu eşkiyalar ve haydutlar ile dolu. Bu yüzden kervanı koruyabilecek bir refakatciye de ihtiyacım var. Eğer kervan {s8} şehrine 7 gün içinde varabilirse, sen de {reg8} dinar kazanmış olacaksın. Tabii birliğin en az {reg4} gücünde olmalı ki kervanı koruma görevini yerine getirebilesin.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_taken|Pekala, kervana refakatlik edeceğim.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall|Korkarım elimde o kadar çok askerim yok.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall.1|Üzgünüm şu anda bunu yapamam.
dlga_start:close_window.35|Yolun geri kalanını kendimiz gidebiliriz. Teşekkürler.
dlga_start:close_window.36|{s21}'{.e} neredeyse geldik. Buradan sonrasını kendimiz de halledebiliriz. İşte ücretiniz... {reg14} dinar. Bize eşlik ettiğin için teşekkürler. İyi şanslar.
dlga_start:merchant_caravan_intro_1|Merhabalar. Sanırım bizim refakatçimizsiniz, öyle değil mi?
dlga_merchant_caravan_intro_1:merchant_caravan_intro_2|Evet, adım {playername}. Sizi {s1} önlerine kadar götüreceğim.
dlga_merchant_caravan_intro_2:escort_merchant_caravan_talk|Güzel.. Yalnız seyahat etmeyeceğimizi bilmek güzel. Şimdi, ne yapmamızı istiyorsun?
dlga_start:escort_merchant_caravan_talk|Eh, buraya kadar geldik. Şimdi ne yapmamızı istiyorsun?
dlga_escort_merchant_caravan_talk:merchant_caravan_follow_lead|Beni takip edin. Sizi güvenli bir rota üzerinden götüreceğim.
dlga_merchant_caravan_follow_lead:close_window|Pekala, hemen arkanda olacağız.
dlga_escort_merchant_caravan_talk:merchant_caravan_stay_here|Biraz burada kalın. Ben önden gidip yolu kontrol edeceğim.
dlga_merchant_caravan_stay_here:close_window|Tamam. Seni burada bekliyor olacağız.
dlga_merchant_quest_requested:merchant_quest_brief.4|Aslında, senin gibi bir maceracı arıyordum. Başbelası bir haydut takımı var. Kasabamızın çevresine konuşlanmışlar ve kervanlarımı soyuyorlar. Şu ana kadar ki tüm birlikleri ve milisleri bertaraf ettiler. Eğer birisi onları durdurmazsa mahvolacağım.
dlga_merchant_quest_brief:troublesome_bandits_quest_brief|Bu haydutların hepsini avlayabilirsen sana tam {reg8} öderim. Tehlikeli bir iş, ama eminim sen bu işi yapabilecek tek {adamsın/kişisin}. Ne diyorsun?
dlga_troublesome_bandits_quest_brief:merchant_quest_taken_bandits|Tamam. O haydutların icabına bakacağım.
dlga_merchant_quest_taken_bandits:close_window|Gerçekten mi? Harika! İyi şanslar!
dlga_troublesome_bandits_quest_brief:merchant_quest_stall|Üzgünüm şu anda bunu yapamam.
dlga_merchant_quest_requested:merchant_quest_brief.5|Aslına bakarsan, çok önemli bir görevi üstlenecek güvenilir bir {adam/maceracı} arıyordum.Bir grup haydut yakın bir arkadaşımın kızını kaçırdı ve fidye için tutuyor.Arkadaşım fidye parasını hazırladı fakat parayı bu adi heriflere götürecek ve kızı güvenli bir şekilde geri getirecek birisine ihtiyacımız var. 
dlga_merchant_quest_brief:kidnapped_girl_quest_brief|Haydutların fidye için istedikleri mebla {reg12} dinar. Bu görevi kabul eder etmez sana bu parayı vereceğim. {s4} köyünün yakınındaki haydutlara parayı verebilmek için 15 günün olacak. Bu şerefsizler eğer parayı zamanında ulaştıramazsak kızı öldüreceklerini söylediler.  Sen de {reg8} dinarlık ödemeni kızı sağ salim geri getirdiğinde alacaksın.
dlga_kidnapped_girl_quest_brief:kidnapped_girl_quest_taken|Pekala, fidyeyi alıp haydutlara götüreceğim. Kızı da alıp geri döneceğim.
dlga_kidnapped_girl_quest_taken:close_window|Güzel. Bu işte sana güvenebileceğimizi biliyordum. Fidye parasını al, {reg12} dinar. Almadan önce say ve lütfen, düşüncesiz birşeyler yapmaya kalkışma. Unutma kızın tek parça eve dönmesi herşeyden daha önemli!
dlga_kidnapped_girl_quest_brief:merchant_quest_stall|Üzgünüm şu anda bunu yapamam.
dlga_start:close_window.37|Beni geri getirdiğin için çok teşekkür ederim! Ailemi görmek için sabırsızlanıyorum. Güle güle.
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2a|Evet, gel benimle. Eve dönüyoruz!
dlga_kidnapped_girl_liberated_map_2a:close_window|Malesef birliğinde benim için yerin yok.
dlga_kidnapped_girl_liberated_map_2a:close_window.1|Öyle mi? Çok teşekkürler!
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2b|Burada biraz daha bekle, senin için geleceğim.
dlga_kidnapped_girl_liberated_map_2b:close_window|Ah, lütfen {beyim/hanımım}, beni buralarda bir başıma bırakmayın!
dlga_start:kidnapped_girl_liberated_map|Ah, {beyim/hanımım}. Beni kurtardığınız için çok teşekkür ederim. Şimdi beni aileme götürecek misiniz?
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2a|Evet, gel benimle, seni eve götüreceğim.
dlga_kidnapped_girl_liberated_battle_2a:kidnapped_girl_liberated_battle_2b|Malesef birliğinde benim için yerin yok.
dlga_kidnapped_girl_liberated_battle_2a:close_window|Gerçekten mi? Çok teşekkür ederim!
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2b|Biraz daha buralarda bekle, senin için döneceğim.
dlga_kidnapped_girl_liberated_battle_2b:close_window|Oh, lütfen {beyim/hanımım}, beni burada yalnız bırakmayın.
dlga_start:kidnapped_girl_liberated_map.1|Şimdi sizinle gelebilir miyim?
dlga_start:bandits_awaiting_ransom_intro_1|Fidyeyi getiren sen misin? Çabuk, parayı ver şimdi!
dlga_start:bandits_awaiting_ransom_intro_1.1|Geri mi geldin? Çabuk, parayı ver!
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_pay|Tamam, alın parayı. Ama kızı serbest bırakın.
dlga_bandits_awaiting_ransom_pay:close_window|Heh. Parayı getirmişsin. Şimdi kızı alabilirsin. Seninle iş yapmak bir zevkti.
