str_no_string|¡NO STRING!
str_i_wish_to_marry_your_s11_s10_i_ask_for_your_help|Deseo casarme con vuestra {s11}, {s10}. Os pido vuestra ayuda.
str_you_plan_to_marry_s3_at_a_feast_hosted_by_s4_in_s5_you_should_be_notifed_of_the_feast_as_soon_as_it_is_held|Planeáis casaros con {s3} en un banquete celebrado por {s4} en {s5}. Deberían avisarte del banquete tan pronto como sea celebrado.
str_your_s11_|vuestro {s11}, 
str_i_ask_again_may|Lo pregunto otra vez: puedo
str_may|Puedo
str_very_well_as_far_as_im_concerned_i_suppose_she_can_see_most_anyone_she_likes__within_reason_of_course|Muy bien. Por lo que a mí concierne, supongo que ella puede verse con quien quiera... dentro de lo razonable, por supuesto.
str_very_well_an_alliance_with_you_could_be_valuable_go_chat_with_her_and_see_if_you_can_get_her_to_take_a_fancy_to_you_if_she_doesnt_and_if_we_still_want_to_conclude_this_business_then_i_can_make_her_see_reason|Muy bien. Una alianza con vos podría ser valiosa. Id a hablar con ella y mirad a ver si le gustáis. Si no es así, y si queremos zanjar este asunto, puedo hacerla entrar en razón.
str_you_have_my_blessing_to_pay_suit_to_her__so_long_as_your_intentions_are_honorable_of_course_depending_on_how_things_proceed_between_you_two_we_may_have_more_to_discuss_at_a_later_date|Tenéis mis bendiciones para cortejarla... siempre y cuando vuestras intenciones sean honorables, por supuesto. Dependiendo de cómo vayan las cosas entre vosotros, puede que sigamos discutiendo de esto más adelante.
str_the_war_has_barely_begun_so_and_it_is_too_early_to_say_who_is_winning_and_who_is_losing|La guerra apenas ha empezado, así que es muy pronto para decir quién está ganando y quién está perdiendo.
str_we_have_been_hitting_them_very_hard_and_giving_them_little_chance_to_recover|Hemos estado asestando duros golpes, y les hemos dado pocas oportunidades de recuperarse.
str_the_fighting_has_been_hard_but_we_have_definitely_been_getting_the_better_of_them|La lucha ha sido dura, pero estamos poniéndonos claramente por delante.
str_they_have_been_hitting_us_very_hard_and_causing_great_suffering|Nos han estado golpeando muy fuerte, y nos han hecho sufrir mucho.
str_the_fighting_has_been_hard_and_i_am_afraid_that_we_have_been_having_the_worst_of_it|La lucha ha sido dura y me temo que nos hemos llevado la peor parte.
str_both_sides_have_suffered_in_the_fighting|Ambos bandos han sufrido durante la lucha.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_think_we_are_getting_the_better_of_them|Aún no se ha declarado un ganador claro de la contienda, pero creo que nos estamos adelantando.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_fear_they_may_be_getting_the_better_of_us|Aún no se ha declarado un ganador claro de la contienda, pero me temo que se nos están adelantando.
str_no_clear_winner_has_yet_emerged_in_the_fighting|Aún no se ha declarado un ganador claro de la contienda
str_there_is_no_campaign_currently_in_progress|Actualmente no hay ninguna campaña en marcha.
str_we_are_assembling_the_army|Estamos reuniendo el ejército.
str_we_aim_to_take_the_fortress_of_s8|Nuestro objetivo es tomar la fortaleza de {s8}.
str_we_are_on_a_raid_and_are_now_targeting_s8|Estamos de asalto, y ahora nos hemos puesto como objetivo {s8}.
str_we_are_trying_to_seek_out_and_defeat_s8|Estamos intentando encontrar y derrotar a {s8}.
str_we_are_riding_to_the_defense_of_s8|Hemos salido en defensa de {s8}.
str_we_are_gathering_for_a_feast_at_s8|Nos estamos reuniendo para un banquete en {s8}.
str__however_that_may_change_shortly_s14| Sin embargo, eso puede cambiar en breve. {s14}
str_it_is_our_custom_to_seal_any_such_alliances_with_marriage_and_in_fact_we_have_been_looking_for_a_suitable_groom_for_my_s11_s14|Es costumbre nuestra sellar tales alianzas con el matrimonio y, de hecho, hemos estado buscando un esposo adecuado para mi {s11}, {s14}.
str_it_is_our_custom_to_seal_any_such_alliances_with_marriage_and_in_fact_we_have_been_looking_for_a_suitable_groom_for_my_s11_s14_but_talk_to_s16|It is our custom to seal any such alliances with marriage, and in fact, we have been looking for a suitable groom for my {s11}, {s14}.  But you must ask {s16}, not me, for permission.
str_once_again_|otra vez 
str_cheat__marriage_proposal|Truco - propuesta de matrimonio
str_you_plan_to_marry_s4_as_you_have_no_family_in_calradia_he_will_organize_the_wedding_feast|Planeáis casaros con {s4}. Como no tenéis familia en el Nuevo Mundo, él organizará el banquete de bodas.
str_s43_just_so_you_know_if_you_attack_me_you_will_be_in_violation_of_the_truce_you_signed_with_the_s34|{s43} Sólo para que lo sepáis, si me atacáis estaréis violando la tregua que firmasteis con el {s34}
str_very_well__you_are_now_my_liege_as_well_as_my_husband|Resumiendo... ahora sois mi señor, además de mi esposo, con todas las obligaciones mutuas que ello implica.
str_i_thank_you_reg39my_ladylord|Os lo agradezco, {reg39?mi señora:señor}.
str_now_some_might_say_that_women_have_no_business_leading_mercenary_companies_but_i_suspect_that_you_would_prove_them_wrong_what_do_you_say|Vaya, algunos podrían decir que no es tarea de mujeres dirigir compañías de mercenarios, pero sospecho que vos les demostraríais lo contrario. ¿Qué decís?
str_what_do_you_say_to_entering_the_service_of_s9_as_a_mercenary_captain_i_have_no_doubt_that_you_would_be_up_to_the_task|¿Qué decís a entrar al servicio de {s9} como capitán de mercenarios? No tengo dudas de que estaríais a la altura de la tarea.
str_s9_asked_you_to_rescue_s13_who_is_prisoner_at_s24|{s9} os pidió que rescataseis a {s13}, que está prisionero en {s24}.
str_s9_asked_you_to_attack_a_village_or_some_caravans_as_to_provoke_a_war_with_s13|{s9} os pidió que atacaseis una aldea o algunas caravanas para provocar una guerra con {s13}.
str_s9_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_s4_alive_and_breathing_he_said_that_all_three_groups_are_heading_towards_s3|{s9} os pidió que capturaseis a los tres grupos de siervos escapados y los trajerais de vuelta a {s4}, vivos y coleando. Dijo que los tres grupos iban hacia {s3}.
str_you_intend_to_bring_goods_to_s9_in_preparation_for_the_feast_which_will_be_held_as_soon_as_conditions_permit|Pretendéis traer víveres a {s9} para preparar el festín, que será celebrado tan pronto como las condiciones lo permitan.
str_hello_playername|Hola, {playername}
str_ah_my_gentle_playername_how_much_good_it_does_my_heart_to_see_you_again|¡Cuánto bien me hace veros de nuevo! A veces siento que hay un vínculo místico entre nosotros que trasciende a la distancia.
str_playername__i_am_so_glad_to_see_you_again_i_must_say_i_do_envy_your_freedom_to_ride_out_and_experience_the_world|Debo deciros que envidio vuestra libertad para cabalgar libremente y conocer mundo.
str_playername__i_am_so_glad_to_see_you_i_trust_that_you_have_been_behaving_honorably_since_last_we_met|Confío en que os hayáis comportado de forma honrosa desde que nos vimos por última vez.
str_playername__i_am_so_glad_that_you_were_able_to_come|Me alegra tanto que hayáis podido venir.
str_i_do_enjoy_speaking_to_you_but_i_am_sure_you_understand_that_our_people_cluck_their_tongues_at_a_woman_to_spend_too_long_conversing_with_a_man_outside_her_family__although_the_heavens_know_its_never_the_man_who_is_held_to_blame_|Disfruto hablando con vos. Pero seguro que comprenderéis que nuestra gente chasquea la lengua cuando ve a una mujer teniendo una larga conversación con un hombre que no es de su familia... aunque los cielos saben que al hombre nunca le echan la culpa de nada. 
str_as_much_as_i_enjoy_speaking_to_you_i_do_not_care_to_be_gossiped_about_by_others_who_might_lack_my_grace_and_beauty_|Pese a lo mucho que disfruto hablando con vos, no me apetece que murmuren sobre mí otras que no cuenten con mi misma gracia y belleza. 
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_one_of_the_great_families_of_this_land_i_must_set_an_example_of_propriety_|Disfruto tanto hablando con vos. Pero como hija de una de las grandes familias de esta tierra, debo dar ejemplo de propiedad. 
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_good_family_i_must_protect_my_reputation_|Disfruto tanto hablando con vos. Pero como hija de una buena familia, debo proteger mi reputación. 
str_although_it_is_kind_of_you_to_pay_me_such_attentions_i_suspect_that_you_might_find_other_ladies_who_may_be_more_inclined_to_return_your_affection|Aunque es muy amable por vuestra parte dedicarme tales atenciones, sospecho que podríais encontrar a otras damas más inclinadas a devolveros vuestros afectos.
str_as_flattered_as_i_am_by_your_attentions_perhaps_you_should_seek_out_another_lady_of_somewhat_shall_we_say_different_tastes|Por mucho que me halaguen vuestras atenciones, tal vez debierais buscar a otra dama con... digamos... gustos de distinta índole.
str_as_flattered_as_i_am_by_your_attentions_i_am_a_daughter_of_good_family_and_must_be_aware_of_my_reputation_it_is_not_seemly_that_i_converse_too_much_at_one_time_with_one_man_i_am_sure_you_understand_now_if_you_will_excuse_me|Por mucho que me halaguen vuestras atenciones, soy hija de una buena familia y debo cuidar mi reputación. No es apropiado que converse demasiado tiempo cada vez con un solo hombre. Estoy segura de que lo entendéis. Y ahora, si me excusáis...
str_very_well__i_will_let_you_choose_the_time|Muy bien... os dejaré elegir el momento.
str_good_i_am_glad_that_you_have_abandoned_the_notion_of_pushing_me_into_marriage_before_i_was_ready|¡Bien! Me alegra que hayáis abandonado la idea de empujarme hacia el matrimonio antes de estar preparada.
str_i_am|Yo soy
str_s12_s11_to_s14|{s12} {s11} del {s14}
str_s12_i_am_here_for_the_feast|{s12}. He venido por el banquete.
str_another_tournament_dedication_oh_i_suppose_it_is_always_flattering|¿Otra dedicatoria de torneo? Oh, supongo que siempre es halagador...
str_do_you_why_what_a_most_gallant_thing_to_say|¿De veras? Vaya, que comentario tan galante.
str_hmm_i_cannot_say_that_i_altogether_approve_of_such_frivolity_but_i_must_confess_myself_a_bit_flattered|Hum.. No puedo decir que apruebe del todo semejante frivolidad, pero confieso que me siento halagada.
str_why_thank_you_you_are_most_kind_to_do_so|Vaya, gracias. Sois muy amable haciéndolo.
str_you_are_most_courteous_and_courtesy_is_a_fine_virtue_|Sois muy cortés, y la cortesía es una gran virtud. 
str_hmm_youre_a_bold_one_but_i_like_that_|Hum. Sois atrevido, pero eso me gusta. 
str_ah_well_they_all_say_that_but_no_matter_a_compliment_well_delivered_is_at_least_a_good_start_|Ah, bueno, todos dicen eso. Pero no importa. Un halago bien hecho, al menos es un buen comienzo. 
str_oh_do_you_mean_that_such_a_kind_thing_to_say|¡Oh! ¿Lo decís en serio? ¡Qué amabilidad la vuestra!
str_you_are_a_most_gallant_young_man_|Sois un joven muy galante. 
str__do_come_and_see_me_again_soon| Volved a visitarme pronto de nuevo.
str_you_intend_to_ask_s12_for_permission_to_marry_s15|Pretendéis pedir permiso a {s12} para casaros con{s15}.
str_you_intend_to_ask_s12_to_pressure_s10_to_marry_you|Pretendéis pedirle a {s12} que presione a {s10} para casarse con vos.
str_do_be_careful_i_am_so_much_endebted_to_you_for_this|¡Tened cuidado! Quedo en deuda con vos por esto...
str_go_then__we_shall_see_which_of_you_triumphs|Id, pues... veremos quién de vosotros triunfa...
str_sigh_i_will_never_truly_understand_men_and_their_rash_actions|Ah... nunca podré entender a los hombres, y a sus acciones impulsivas...
str_you_intend_to_challenge_s13_to_force_him_to_relinquish_his_suit_of_s11|Pretendéis retar a {s13} para obligarle a abandonar su cortejo de {s11}.
str_farewell|Adiós.
str_farewell_playername|Adiós, {playername}.
str___we_believe_that_there_is_money_to_be_made_selling_|  Creemos que se puede hacer dinero vendiendo  
str__we_carry_a_selection_of_goods_although_the_difference_in_prices_for_each_is_not_so_great_we_hope_to_make_a_profit_off_of_the_whole| Disponemos de un surtido de mercancías. Aunque la diferencia de precios no es muy grande, esperamos sacar beneficio en el conjunto.
str_s14and_other_goods|{s14} y otras mercancías.
str__have_you_not_signed_a_truce_with_our_lord| ¿No habéis firmado una tregua con nuestro señor?
str_parole|libertad condicional
str_normal|normal
str__meanwhile_s51_reg2areis_being_held_in_the_castle_but_reg2havehas_made_pledges_not_to_escape_and_reg2areis_being_held_in_more_comfortable_quarters| Mientras tanto, {s51} {reg2?están:está} bajo arresto en el castillo, si bien {reg2?han:ha} jurado no escaparse y ahora {reg2?les:le} hemos colocado en aposentos más confortables.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_it_would_boost_your_own_standing_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|Tal vez sepáis, mi señor, de la disputa entre {s4} y {s5} que está perjudicando a la unidad de este reino y menoscabando vuestra autoridad. Si pudierais persuadir a los señores de que se reconciliasen, os ganaríais aún más renombre. No obstante, aceptando hacer esto corréis el riesgo de que los señores decidan que os habéis aliado con su rival.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_i_imagine_that_s7_would_be_most_pleased_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|Tal vez sepáis, mi señor, de la disputa entre {s4} y {s5} que está perjudicando a la unidad de este reino y menoscabando vuestra autoridad. Si pudierais persuadir a los señores de que se reconciliasen, imagino que {s7} lo vería con muy buenos ojos. No obstante, aceptando hacer esto corréis el riesgo de que los señores decidan que os habéis aliado con su rival.
str__of_course_the_land_is_currently_at_peace_so_you_may_have_better_luck_in_other_realms| Por supuesto, ahora mismo el territorio está en paz así que puede que tengáis mejor suerte en otros reinos.
str_here|aquí
str_over|cerca de
str_s8_in_s12|{s8} en {s12}
str__has_put_together_a_bounty_on_some_bandits_who_have_been_attacking_travellers_in_the_area| ha puesto recompensa por las cabezas de varios bandidos que han estado atacando a viajeros en el área.
str__is_looking_for_a_way_to_avoid_an_impending_war| está buscando una forma de evitar una guerra inminente.
str__may_need_help_rescuing_an_imprisoned_family_member| puede necesitar ayuda para rescatar a un miembro de su familia apresado.
str__has_been_asking_around_for_someone_who_might_want_work_id_watch_yourself_with_him_though| ha estado preguntando por alguien que necesite trabajo. Yo tendría cuidado con él, no obstante.
str_town|ciudad.
str_castle|castillo.
str__but_he_is_holding_there_as_a_prisoner_at_dungeon_of_s13| Pero él está allí prisionero en la mazmorra de {s13}.
str_they_say_that_s9_is_a_most_conventional_maiden__devoted_to_her_family_of_a_kind_and_gentle_temperament_a_lady_in_all_her_way|Se dice que {s9} es una doncella muy convencional... dedicada a su familia, de carácter gentil, una verdadera damisela.
str_they_say_that_s9_is_a_bit_of_a_romantic_a_dreamer__of_a_gentle_temperament_yet_unpredictable_she_is_likely_to_be_led_by_her_passions_and_will_be_trouble_for_her_family_ill_wager|Se dice que {s9} es un poco romántica, una soñadora... de carácter gentil, pero impredecible. Se deja llevar por sus pasiones, y apuesto a que va a causar problemas a su familia.
str_they_say_that_s9_is_determined_to_marry_well_and_make_her_mark_in_the_world_she_may_be_a_tremendous_asset_for_her_husband__provided_he_can_satisfy_her_ambition|Se dice que {s9} está decidida a hacer un buen matrimonio y dejar su huella en el mundo. Puede ser una gran baza para su marido... ¡siempre y cuando él consiga satisfacer sus ambiciones!
str_they_say_that_s9_loves_to_hunt_and_ride_maybe_she_wishes_she_were_a_man_whoever_she_marries_will_have_a_tough_job_keeping_the_upper_hand_i_would_say|Se dice que a {s9} le encanta cazar y cabalgar. ¡A lo mejor le gustaría ser un hombre! Quien se case con ella tendrá las manos llenas haciéndose respetar, me parece.
str_they_say_that_s9_is_a_lady_of_the_highest_moral_standards_very_admirable_very_admirable__and_very_hard_to_please_ill_warrant|Se dice que {s9} es una dama con estándares morales muy elevados. Muy muy admirable... y apostaría a que muy difícil de complacer.
str_s9_is_now_betrothed_to_s11_soon_we_believe_there_shall_be_a_wedding|{s9} está ahora prometida con {s11}. ¡Creo que pronto tendremos una boda!
str_i_have_not_heard_any_news_about_her|No he oído nada sobre ella.
str_they_say_that_s9_has_shown_favor_to_s11_perhaps_it_will_not_be_long_until_they_are_betrothed__if_her_family_permits|Se dice que {s9} ve con buenos ojos a {s11}. Tal vez formalicen pronto el compromiso... si la familia de ella lo permite.
str_they_say_that_s9_has_been_forced_by_her_family_into_betrothal_with_s11|Se dice que {s9} ha sido obligada por su familia a comprometerse con {s11}.
str_they_say_that_s9_has_agreed_to_s11s_suit_and_the_two_are_now_betrothed|Se dice que {s9} ha accedido al cortejo de {s11}, y que ahora ambos están prometidos.
str_they_say_that_s9_under_pressure_from_her_family_has_agreed_to_betrothal_with_s11|Se dice que {s9}, por presiones de su familia, ha accedido a comprometerse con {s11}.
str_they_say_that_s9_has_refused_s11s_suit|Se dice que {s9} ha rechazado el cortejo de {s11}.
str_they_say_that_s11_has_tired_of_pursuing_s9|Se dice que {s11} se ha cansado de cortejar a {s9}.
str_they_say_that_s9s_family_has_forced_her_to_renounce_s11_whom_she_much_loved|Se dice que la familia de {s9} la ha obligado a renunciar a {s11}, a quien ella amaba profundamente.
str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|Se dice que {s9} se ha fugado con {s11}, causando una gran conmoción en su familia.
str_they_say_that_s9_and_s11_have_wed|Se dice que {s9} y {s11} se han casado.
str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|Se dice que {s9} fue visitada recientemente por {s11}. ¡A saber a dónde puede llevar eso!
str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|No hay mucho que contar, pero aún es pronto esta temporada
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12}Se está celebrando un banquete del {s3} en {s4}, pero dura ya dos días y está a punto de terminar. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12}Se está celebrando un banquete del {s3} en {s4}, y debería durar al menos otro día más. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12}Se está celebrando un banquete del {s3} en {s4}, y acaba de empezar. 
str_not_at_this_time_no|No, ahora mismo no.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}Los grandes señores acuden con sus hijas y hermanas a estos eventos para que puedan ver y ser vistas, así que son excelentes oportunidades para conocer a damas.
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|No os arrepentiréis, {señor/señora}. No encontraréis mejores guerreros en todo el Nuevo Mundo.
str_your_excellency|vuestra excelencia
str_s10_and_s11|{s10} y {s11}
str_your_loyal_subjects|vuestros leales súbditos
str_loyal_subjects_of_s10|leales súbditos de {s10}
str_the|el
str_we|nosotros
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|Encuentra a {s7} y derrótale, ahogando así los gritos de guerra en el seno del {s11}.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|Encuentra a los {s9} que atacaron a viajeros cerca de {s8}, y vuelve a informar a la ciudad.
str_do_you_wish_to_award_it_to_one_of_your_vassals|¿Deseáis concedérselo a uno de vuestros vasallos?
str_who_do_you_wish_to_give_it_to|¿A quién deseáis concederlo?
str_sire_my_lady_we_have_taken_s1_s2|{Sire/Mi señora}, hemos tomado {s1}. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}Quiero tener {s1} para mí. {s2}
str_fiefs_s0|(feudos: {s0})
str_production_setting_buy_from_market|Estamos comprando materias primas en el mercado.
str_production_setting_buy_from_inventory|Sólo usamos las materias primas de nuestro inventario.
str_production_setting_produce_to_inventory|Estamos colocando nuestra producción en el inventario.
str_production_setting_produce_to_market|Estamos vendiendo nuestra producción directamente en el inventario.
str_feast_quest_expired|No habéis sido capaz de celebrar el banquete como hubierais querido. Probablemente alguna gran campaña de facciones u otros eventos lo han impedido. Podéis intentar celebrarlo de nuevo, si lo deseáis.
str_whereabouts_unknown|whereabouts unknown
str_mulberry_groves|acres de moreras
str_olive_groves|acres de olivares
str_acres_flax|acres de campos de lino
str_enterprise_enemy_realm|{Señor/Señora}, sois un enemigo de este reino. No podemos permitiros que compréis tierras aquí.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|Tenéis intención de denunciar en privado a {s14} ante {s13} en nombre de {s12}
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|Tenéis intención de denunciar públicamente a {s14} delante de él, en nombre de {s12}
str_you_intend_to_bring_gift_for_s14|Tenéis intención de entregar terciopelo y pieles a {s12}. Luego hablad con {s14}, para ver si {s12} fue capaz de conseguir una reconciliación.
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|Reuniremos el ejército, pero no marcharemos hasta que no tengamos un objetivo.
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|Estamos concentrando nuestras fuerzas en su fortaleza más vulnerable.
str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|Pretendemos golpear de forma que hagamos el máximo daño posible.
str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|Pretendemos tomar una fortaleza que sea fácil de defender para nosotros.
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|Atravesaremos sus tierras más prósperas dejando un sendero de cenizas para obligarles a luchar.
str_strategy_criticism_rash|Creo que esta estrategia es precipitada, y expone a nuestras fuerzas al peligro de forma innecesaria.
str_strategy_criticism_cautious|Creo que esta estrategia es demasiado cauta, y nuestro ejército se irá desintegrando de aburrimiento sin que hayamos conseguido ningún triunfo.
str_tavernkeeper_invalid_quest| tenía algún asunto entre manos, pero no recuerdo bien los detalles.
str_faction_title_male_player|Lord {s0}
str_faction_title_male_1|Conde {s0}
str_faction_title_male_2|Boyar {s0}
str_faction_title_male_3|Noyan {s0}
str_faction_title_male_4|Jarl {s0}
str_faction_title_male_5|Conde {s0}
str_faction_title_male_6|Emir {s0}
str_faction_title_male_7|Heru {s0}
str_faction_title_male_8|Alul {s0}
str_faction_title_male_9|Senger {s0}
str_faction_title_male_10|Warchief {s0}
str_faction_title_male_11|Master {s0}
str_faction_title_male_12|Lord {s0}
str_faction_title_male_13|Sir {s0}
str_faction_title_male_14|Sir {s0}
str_faction_title_male_15|Sir {s0}
str_faction_title_male_16|Sir {s0}
str_faction_title_male_17|Sir {s0}
str_faction_title_male_18|Sir {s0}
str_faction_title_female_player|Lady {s0}
str_faction_title_female_1|Condesa {s0}
str_faction_title_female_2|Boyarina {s0}
str_faction_title_female_3|Hatun {s0}
str_faction_title_female_4|Grevinne {s0}
str_faction_title_female_5|Condesa {s0}
str_faction_title_female_6|Sayeda {s0}
str_faction_title_female_7|Lady {s0}
str_faction_title_female_8|Lady {s0}
str_faction_title_female_9|Lady {s0}
str_faction_title_female_10|Lady {s0}
str_faction_title_female_11|Master {s0}
str_faction_title_female_12|Lady {s0}
str_faction_title_female_13|Dame {s0}
str_faction_title_female_14|Dame {s0}
str_faction_title_female_15|Dame {s0}
str_faction_title_female_16|Dame {s0}
str_faction_title_female_17|Dame {s0}
str_faction_title_female_18|Dame {s0}
str_name_kingdom_text|¿Cómo se llamará vuestro reino?
str_default_kingdom_name|Reino de {s0}
str_lord_defects_ordinary|Lord Defects^^{s1} ha renunciado a su lealtad al {s3}, y se ha unido al {s2}
str_lord_defects_player|Lord Defects^^{s1} ha renunciado a su lealtad al {s3}. De momento se ha unido a vuestro reino. Podéis acudir a vuestra corte a recibir el juramento de lealtad, si lo deseáis.
str_lord_defects_player_faction|Lord Defects^^{s1} ha renunciado a su lealtad al {s3}. De momento se ha unido a vuestro reino. Podéis acudir a vuestra corte a recibir el juramento de lealtad, si lo deseáis.
str_lord_indicted_player_faction|Por orden del {s6}, {s4} del {s5} ha sido acusado de traición. El señor ha sido despojado de todas sus propiedades, y ha huido para salvar su vida. Desea unirse a vuestro reino. Podéis encontrarle en vuestra corte para recibir su juramento de lealtad, si así lo deseáis.
str_lord_indicted_dialog_approach|Saludos, {mi señor/mi señora}. Tal vez sepáis ya de la ignominia que he sufrido a manos del {s10}. Tenéis reputación de tratar bien a vuestros vasallos y, si me aceptáis, sería un honor para mí juraros mi lealtad en vasallaje.
str_lord_indicted_dialog_approach_yes|Y para mí sería un honor aceptarla.
str_lord_indicted_dialog_approach_no|Lo lamento. No preciso de vuestros servicios.
str_lord_indicted_dialog_rejected|¿En serio? Bueno, tal vez vuestra reputación era engañosa. Buen día, {mi señor/mi señora}... iré a ver si otro gobernante del Nuevo Mundo aprecia más mis talentos.
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home| ha estado teniendo problemas con unos bandidos que operan dentro de su área.
str_bandit_lair_quest_description|Encontrad y destruid el {s9}, y regresad a informar al {s11}.
str_bandit_hideout_preattack|Os aproximáis a la guarida. No parece que los {s4} os hayan detectado todavía, y podríais alejaros sin despertar la alarma. El difícil acceso al lugar - {s5} - implica que sólo un puñado de tropas de vuestro grupo podría unirse al ataque, y no podrían utilizar sus caballos. Si vuestro ataque inicial falla, los {s4} podrían fácilmente escapar y dispersarse. ¿Deseáis atacar la guarida, o preferís esperar a otra ocasión?
str_bandit_hideout_failure|Los {s4} repelen vuestro ataque. Os reagrupáis y avanzáis de nuevo para encontraros con que se han dispersado y desparecido por los alrededores, donde sin duda continuarán amenazando a otros viajeros.
str_bandit_hideout_success|Con su vía de retirada cortada, los {s4} caen uno por uno ante vuestro firme ataque. Su guarida y sus sucias ganancias son ahora vuestras.
str_bandit_approach_defile|bajar un estrecho desfiladero
str_bandit_approach_swamp|atravesar un pinar pantanoso
str_bandit_approach_thickets|atravesar una zona de densos arbustos
str_bandit_approach_cliffs|subir por un sendero lateral del acantilado
str_bandit_approach_cove|bajar por el lecho de un arroyo atravesando los acantilados
str_political_explanation_lord_lacks_center|En este caso, el feudo debería ser para un señor que no tenga tierras ni ingresos.
str_political_explanation_lord_took_center|En este caso, la fortaleza debería ser para el que la capture.
str_political_explanation_most_deserving_friend|En este caso, atendiendo a mis mejores amigos y compañeros, he decidido conceder el feudo a quien más lo merezca.
str_political_explanation_most_deserving_in_faction|En este caso, atendiendo a los señores del reino, he decidido conceder el feudo a quien más lo merezca.
str_political_explanation_self|En ausencia de cualquier otro candidato mejor, me nomino a mí mismo.
str_political_explanation_marshal|He elegido al más valiente de nuestros nobles, en quien confío, y cuyo nombre no está machado por la controversia ahora mismo.
str_prisoner_at_large|escapado, tras ser sus captores derrotados en batalla. Espero que vuestro amigo reaparezca en breve.
str_quick_battle_scene_1|Granja
str_quick_battle_scene_2|Oasis
str_quick_battle_scene_3|Paso de Tulbuk
str_quick_battle_scene_4|Castillo Haima 
str_quick_battle_scene_5|Castillo Ulbas 
str_quick_battle_troop_1|Hay una razón para que nadie pasee por las ciudades sin llevar guardias armados una vez se ha puesto el sol, y esa razón es Rodrigo de Braganca. El mercader de ojos despiertos llegado a Tihr con una pequeña fortuna en rubíes y el sueño de conquistar el mercado del terciopelo pronto se vio reducido a la pobreza, al perder todo lo que poseía en una brutal competición con las cofradías de mercaderes Rhodok antagonistas. Pero pronto cambió las balanzas de medir por las espadas, y aplicó su ingenio para los negocios en levantar la más mortífera organización criminal de Veluca, que posee guaridas y opera en toda ciudad importante. Ha conseguido su objetivo, pues el precio por su cabeza es mayor que las riquezas a las que aspiraba antaño. Ahora se complace en despojar a sus antiguos competidores de sus bienes terrenales... y de sus preocupaciones.
str_quick_battle_troop_2|Usiatra usurpó el liderazgo del grupo de bandidos que ocupaba Siri, una aldea rural en los desiertos sureños fuera del reino del Nuevo Mundo, de forma brusca y violenta cuando tenía diecisiete años. Bajo su mando, la banda de rufianes expandió rápidamente sus operaciones por las tierras del sur. Su carácter astuto y decidido, combinado con una ambición implacable que la empuja a actuar con crueldad y serenidad inhumanas, le granjea la admiración fanática de todos cuantos la siguen. De ese modo, entre los suyos vive una vida decadente y caprichosa, construida sobre las cosechas del violento saqueo que ejecuta durante sus travesías. Su fuerza militar y su ingenio natural para la estrategia le ha permitido salir indemne de todo intento de captura en su tierra natal, y ahora vuelve sus ojos hacia las ricas tierras del Nuevo Mundo para mantener a sus guerrilleros.
